name	url
salemypham89	https://shopee.vn/salemypham89?categoryId=100630&itemId=9522488580
cocobeauty_officialstore	https://shopee.vn/cocobeauty_officialstore?categoryId=100630&itemId=90415238
ss398001357.vn	https://shopee.vn/ss398001357.vn?categoryId=100630&itemId=3031303047
nhutrangplaza	https://shopee.vn/nhutrangplaza?categoryId=100630&itemId=2017581002
halomishop	https://shopee.vn/halomishop?categoryId=100630&itemId=2030282232
thaonhiohui	https://shopee.vn/thaonhiohui?categoryId=100630&itemId=5414652202
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=3438171524
colorkeyofficial.vn	https://shopee.vn/colorkeyofficial.vn?categoryId=100630&itemId=4478799783
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=5353960506
kduyen82	https://shopee.vn/kduyen82?categoryId=100630&itemId=6958603972
nivea.officialstore	https://shopee.vn/nivea.officialstore?categoryId=100630&itemId=1529768534
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=1266466276
ukbeautyhouse	https://shopee.vn/ukbeautyhouse?categoryId=100630&itemId=1483689586
vesta_officialstore	https://shopee.vn/vesta_officialstore?categoryId=100630&itemId=7449673230
e.u.official.store	https://shopee.vn/e.u.official.store?categoryId=100630&itemId=8369507646
giaxuong247	https://shopee.vn/giaxuong247?categoryId=100630&itemId=5956022704
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=3637795084
lalashop.beauty	https://shopee.vn/lalashop.beauty?categoryId=100630&itemId=1940667164
huyenanhsoc	https://shopee.vn/huyenanhsoc?categoryId=100630&itemId=1087023656
sieuthisacdep	https://shopee.vn/sieuthisacdep?categoryId=100630&itemId=7494610791
buddy.hairs	https://shopee.vn/buddy.hairs?categoryId=100630&itemId=5450084795
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=9962041671
hoanglamip	https://shopee.vn/hoanglamip?categoryId=100630&itemId=7235116935
hinnail_officialstore	https://shopee.vn/hinnail_officialstore?categoryId=100630&itemId=3434120860
ngocltb4988	https://shopee.vn/ngocltb4988?categoryId=100630&itemId=6037574888
kduyen82	https://shopee.vn/kduyen82?categoryId=100630&itemId=5658603769
the_beauty_shop90	https://shopee.vn/the_beauty_shop90?categoryId=100630&itemId=11008824996
o.two.o.vn	https://shopee.vn/o.two.o.vn?categoryId=100630&itemId=10960376460
moccomestic	https://shopee.vn/moccomestic?categoryId=100630&itemId=7200406313
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=7362441068
khobuonmyphamgiatot	https://shopee.vn/khobuonmyphamgiatot?categoryId=100630&itemId=7601386883
sale.vn	https://shopee.vn/sale.vn?categoryId=100630&itemId=4812870041
yenthanh67	https://shopee.vn/yenthanh67?categoryId=100630&itemId=7561569509
ahgech2.vn	https://shopee.vn/ahgech2.vn?categoryId=100630&itemId=10811981178
mayward.vn	https://shopee.vn/mayward.vn?categoryId=100630&itemId=4187426209
buddy.hairs	https://shopee.vn/buddy.hairs?categoryId=100630&itemId=3471991761
tsubaki_officialstore_vn	https://shopee.vn/tsubaki_officialstore_vn?categoryId=100630&itemId=5027646135
gocgiadinhvn	https://shopee.vn/gocgiadinhvn?categoryId=100630&itemId=795956501
phukienxinh14	https://shopee.vn/phukienxinh14?categoryId=100630&itemId=10208566472
ss398001357.vn	https://shopee.vn/ss398001357.vn?categoryId=100630&itemId=8911769675
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=6241508929
magic.beauty	https://shopee.vn/magic.beauty?categoryId=100630&itemId=6601471129
moccomestic	https://shopee.vn/moccomestic?categoryId=100630&itemId=7235456118
perfectdiary.vn	https://shopee.vn/perfectdiary.vn?categoryId=100630&itemId=3163681208
nano.official9x	https://shopee.vn/nano.official9x?categoryId=100630&itemId=9975333097
sale.vn	https://shopee.vn/sale.vn?categoryId=100630&itemId=4442657666
jiuerba1.vn	https://shopee.vn/jiuerba1.vn?categoryId=100630&itemId=10720519509
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=6202189704
imagic_official.vn	https://shopee.vn/imagic_official.vn?categoryId=100630&itemId=10616635918
joeyshop268	https://shopee.vn/joeyshop268?categoryId=100630&itemId=3763110659
hufuholic	https://shopee.vn/hufuholic?categoryId=100630&itemId=10952027555
yasan.vn	https://shopee.vn/yasan.vn?categoryId=100630&itemId=5380549060
magic.beauty	https://shopee.vn/magic.beauty?categoryId=100630&itemId=3100279281
nailaccessories.vn	https://shopee.vn/nailaccessories.vn?categoryId=100630&itemId=10703233047
rainyblack	https://shopee.vn/rainyblack?categoryId=100630&itemId=3167227364
lanbenaplus.vn	https://shopee.vn/lanbenaplus.vn?categoryId=100630&itemId=4233471521
lylyga	https://shopee.vn/lylyga?categoryId=100630&itemId=9103084321
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=3037020694
hanvivuspa21	https://shopee.vn/hanvivuspa21?categoryId=100630&itemId=11666361336
thanhpham1988	https://shopee.vn/thanhpham1988?categoryId=100630&itemId=2369265438
the_gioi_skin_food	https://shopee.vn/the_gioi_skin_food?categoryId=100630&itemId=3503052242
ohuiminisample	https://shopee.vn/ohuiminisample?categoryId=100630&itemId=4819342503
9houseshop	https://shopee.vn/9houseshop?categoryId=100630&itemId=1677991207
chanhbeauty93	https://shopee.vn/chanhbeauty93?categoryId=100630&itemId=3039561939
hanvivuspa21	https://shopee.vn/hanvivuspa21?categoryId=100630&itemId=12340527525
romano_vietnam	https://shopee.vn/romano_vietnam?categoryId=100630&itemId=6737176363
myphamhathanhninhbinh	https://shopee.vn/myphamhathanhninhbinh?categoryId=100630&itemId=6678284082
sohu_official	https://shopee.vn/sohu_official?categoryId=100630&itemId=11807306272
dolatrum.vudu	https://shopee.vn/dolatrum.vudu?categoryId=100630&itemId=10162394910
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=4163604500
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=6102640951
lylyga	https://shopee.vn/lylyga?categoryId=100630&itemId=9302690445
thanhpham1988	https://shopee.vn/thanhpham1988?categoryId=100630&itemId=9948143523
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=6200191156
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=5845578594
bioderma_nuoc_tay_trang	https://shopee.vn/bioderma_nuoc_tay_trang?categoryId=100630&itemId=11566694373
love981s.vn	https://shopee.vn/love981s.vn?categoryId=100630&itemId=4573918461
o.two.o.vn	https://shopee.vn/o.two.o.vn?categoryId=100630&itemId=11900200624
cocoonvietnamofficial	https://shopee.vn/cocoonvietnamofficial?categoryId=100630&itemId=5261821960
stagenius.vn	https://shopee.vn/stagenius.vn?categoryId=100630&itemId=6681506729
spashop	https://shopee.vn/spashop?categoryId=100630&itemId=2292225306
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=5868617715
sieuthimevabe.vn	https://shopee.vn/sieuthimevabe.vn?categoryId=100630&itemId=1727234347
phukiencuoibaoan	https://shopee.vn/phukiencuoibaoan?categoryId=100630&itemId=2878851403
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=7812156570
rubystore402	https://shopee.vn/rubystore402?categoryId=100630&itemId=13628395309
kimusecosmetics.vn	https://shopee.vn/kimusecosmetics.vn?categoryId=100630&itemId=5271841198
vyvysciu	https://shopee.vn/vyvysciu?categoryId=100630&itemId=6762892514
magic.beauty	https://shopee.vn/magic.beauty?categoryId=100630&itemId=3104391314
